time_of_day,temperature,humidity
05:00:00,24.0,46.0
05:00:02,24.0,46.0
05:00:03,24.0,46.0
05:00:05,24.0,46.0
05:00:06,24.0,46.0
05:00:08,24.0,46.0
05:00:09,24.0,46.0
05:00:11,24.0,46.0
05:00:13,24.0,46.0
05:00:17,24.0,46.0
05:00:18,24.0,46.0
05:00:20,24.0,46.0
05:00:21,24.0,46.0
05:00:23,24.0,46.0
05:00:24,24.0,46.0
05:00:26,24.0,46.0
05:00:27,24.0,46.0
05:00:29,24.0,46.0
05:00:30,24.0,46.0
05:00:32,24.0,46.0
05:00:33,24.0,46.0
05:00:35,24.0,46.0
05:00:36,24.0,46.0
05:00:38,24.0,46.0
05:00:39,24.0,46.0
05:00:41,24.0,46.0
05:00:43,24.0,46.0
05:00:44,24.0,46.0
05:00:46,24.0,46.0
05:00:47,24.0,46.0
05:00:49,24.0,46.0
05:00:50,24.0,46.0
05:00:52,24.0,46.0
05:00:53,24.0,46.0
05:00:57,24.0,46.0
05:00:59,24.0,46.0
05:01:03,24.0,46.0
05:01:04,24.0,46.0
05:01:06,24.0,46.0
05:01:07,24.0,46.0
05:01:09,24.0,46.0
05:01:11,24.0,46.0
05:01:12,24.0,46.0
05:01:14,24.0,46.0
05:01:15,24.0,46.0
05:01:17,24.0,46.0
05:01:18,24.0,46.0
05:01:20,24.0,46.0
05:01:21,24.0,46.0
05:01:23,24.0,46.0
05:01:24,24.0,46.0
05:01:26,24.0,46.0
05:01:27,24.0,46.0
05:01:29,24.0,46.0
05:01:30,24.0,46.0
05:01:32,24.0,46.0
05:01:33,24.0,46.0
05:01:35,24.0,46.0
05:01:36,24.0,46.0
05:01:38,24.0,46.0
05:01:40,24.0,46.0
05:01:41,24.0,46.0
05:01:43,24.0,46.0
05:01:44,24.0,46.0
05:01:46,24.0,46.0
05:01:47,24.0,46.0
05:01:49,24.0,46.0
05:01:50,24.0,46.0
05:01:52,24.0,46.0
05:01:53,24.0,46.0
05:01:55,24.0,46.0
05:01:56,24.0,46.0
05:01:58,24.0,46.0
05:01:59,24.0,46.0
05:02:01,24.0,46.0
05:02:02,24.0,46.0
05:02:04,24.0,46.0
05:02:05,24.0,46.0
05:02:07,24.0,46.0
05:02:09,24.0,46.0
05:02:10,24.0,46.0
05:02:12,24.0,46.0
05:02:13,24.0,46.0
05:02:15,24.0,46.0
05:02:16,24.0,46.0
05:02:18,24.0,46.0
05:02:19,24.0,46.0
05:02:21,24.0,46.0
05:02:22,24.0,46.0
05:02:24,24.0,46.0
05:02:25,24.0,46.0
05:02:27,24.0,46.0
05:02:28,24.0,46.0
05:02:30,24.0,46.0
05:02:31,24.0,46.0
05:02:33,24.0,46.0
05:02:34,24.0,46.0
05:02:36,24.0,46.0
05:02:38,24.0,46.0
05:02:39,24.0,46.0
05:02:41,24.0,46.0
05:02:42,24.0,46.0
05:02:44,24.0,46.0
05:02:45,24.0,46.0
05:02:47,24.0,46.0
05:02:48,24.0,46.0
05:02:50,24.0,46.0
05:02:51,24.0,46.0
05:02:53,24.0,46.0
05:02:54,24.0,46.0
05:02:56,24.0,46.0
05:02:57,24.0,46.0
05:03:01,24.0,46.0
05:03:03,24.0,46.0
05:03:04,24.0,46.0
05:03:06,24.0,46.0
05:03:13,24.0,46.0
05:03:14,24.0,46.0
05:03:16,24.0,46.0
05:03:17,24.0,46.0
05:03:19,24.0,46.0
05:03:20,24.0,46.0
05:03:22,24.0,46.0
05:03:23,24.0,46.0
05:03:25,24.0,46.0
05:03:26,24.0,46.0
05:03:28,24.0,46.0
05:03:29,24.0,46.0
05:03:33,24.0,46.0
05:03:35,24.0,46.0
05:03:37,24.0,46.0
05:03:38,24.0,46.0
05:03:40,24.0,46.0
05:03:41,24.0,46.0
05:03:43,24.0,46.0
05:03:44,24.0,46.0
05:03:46,24.0,46.0
05:03:47,24.0,46.0
05:03:49,24.0,46.0
05:03:50,24.0,46.0
05:03:52,24.0,46.0
05:03:53,24.0,46.0
05:03:55,24.0,46.0
05:03:56,24.0,46.0
05:03:58,24.0,46.0
05:03:59,24.0,46.0
05:04:01,24.0,46.0
05:04:02,24.0,46.0
05:04:04,24.0,46.0
05:04:06,24.0,46.0
05:04:07,24.0,46.0
05:04:09,24.0,46.0
05:04:13,24.0,46.0
05:04:14,24.0,46.0
05:04:16,24.0,46.0
05:04:17,24.0,46.0
05:04:19,24.0,46.0
05:04:20,24.0,46.0
05:04:22,24.0,46.0
05:04:23,24.0,46.0
05:04:25,24.0,46.0
05:04:29,24.0,46.0
05:04:33,24.0,46.0
05:04:34,24.0,46.0
05:04:36,24.0,46.0
05:04:38,24.0,46.0
05:04:39,24.0,46.0
05:04:41,24.0,46.0
05:04:42,24.0,46.0
05:04:44,24.0,46.0
05:04:45,24.0,46.0
05:04:47,24.0,46.0
05:04:48,24.0,46.0
05:04:50,24.0,46.0
05:04:51,24.0,46.0
05:04:53,24.0,46.0
05:04:54,24.0,46.0
05:04:56,24.0,46.0
05:04:57,24.0,46.0
05:05:01,24.0,46.0
05:05:03,24.0,46.0
05:05:04,24.0,46.0
05:05:06,24.0,46.0
05:05:10,24.0,46.0
05:05:12,24.0,46.0
05:05:13,24.0,46.0
05:05:17,24.0,46.0
05:05:19,24.0,46.0
05:05:20,24.0,46.0
05:05:22,24.0,46.0
05:05:23,24.0,46.0
05:05:25,24.0,46.0
05:05:26,24.0,46.0
05:05:28,24.0,46.0
05:05:29,24.0,46.0
05:05:31,24.0,46.0
05:05:32,24.0,46.0
05:05:34,24.0,46.0
05:05:36,24.0,46.0
05:05:37,24.0,46.0
05:05:44,24.0,46.0
05:05:48,24.0,46.0
05:05:49,24.0,46.0
05:05:51,24.0,46.0
05:05:52,24.0,46.0
05:05:54,24.0,46.0
05:05:55,24.0,46.0
05:05:57,24.0,46.0
05:05:58,24.0,46.0
05:06:00,24.0,46.0
05:06:01,24.0,46.0
05:06:03,24.0,46.0
05:06:04,24.0,46.0
05:06:06,24.0,46.0
05:06:08,24.0,46.0
05:06:12,24.0,46.0
05:06:13,24.0,46.0
05:06:15,24.0,46.0
05:06:19,24.0,46.0
05:06:20,24.0,46.0
05:06:22,24.0,46.0
05:06:23,24.0,46.0
05:06:25,24.0,46.0
05:06:26,24.0,46.0
05:06:28,24.0,46.0
05:06:29,24.0,46.0
05:06:31,24.0,46.0
05:06:32,24.0,46.0
05:06:34,24.0,46.0
05:06:35,24.0,46.0
05:06:37,24.0,46.0
05:06:41,24.0,46.0
05:06:43,24.0,46.0
05:06:44,24.0,46.0
05:06:46,24.0,46.0
05:06:47,24.0,46.0
05:06:49,24.0,46.0
05:06:50,24.0,46.0
05:06:52,24.0,46.0
05:06:53,24.0,46.0
05:06:55,24.0,46.0
05:06:56,24.0,46.0
05:06:58,24.0,46.0
05:06:59,24.0,46.0
05:07:03,24.0,46.0
05:07:05,24.0,46.0
05:07:07,24.0,46.0
05:07:08,24.0,46.0
05:07:10,24.0,46.0
05:07:11,24.0,46.0
05:07:13,24.0,46.0
05:07:14,24.0,46.0
05:07:16,24.0,46.0
05:07:17,24.0,46.0
05:07:21,24.0,46.0
05:07:23,24.0,46.0
05:07:24,24.0,46.0
05:07:26,24.0,46.0
05:07:27,24.0,46.0
05:07:29,24.0,46.0
05:07:30,24.0,46.0
05:07:32,24.0,46.0
05:07:33,24.0,46.0
05:07:35,24.0,46.0
05:07:37,24.0,46.0
05:07:38,24.0,46.0
05:07:40,24.0,46.0
05:07:41,24.0,46.0
05:07:43,24.0,46.0
05:07:44,24.0,46.0
05:07:46,24.0,46.0
05:07:47,24.0,46.0
05:07:49,24.0,46.0
05:07:50,24.0,46.0
05:07:57,24.0,46.0
05:07:58,24.0,46.0
05:08:00,24.0,46.0
05:08:01,24.0,46.0
05:08:03,24.0,46.0
05:08:04,24.0,46.0
05:08:06,24.0,46.0
05:08:10,24.0,46.0
05:08:12,24.0,46.0
05:08:13,24.0,46.0
05:08:15,24.0,46.0
05:08:16,24.0,46.0
05:08:18,24.0,46.0
